ID,diet_group,mean_ghgs,mean_land,mean_watscar
1,fish,5.776063149292501,7.631267090385,20111.764629236503
1,meat,7.6995840023515,12.485070171789001,21093.778105085
1,meat100,14.058712843581999,28.153132782743,29372.064651415003
1,meat50,5.6723593276435,8.4843791731575,17410.968434633003
1,vegan,2.619917198778,4.4847165808075,14764.722826198
1,veggie,4.8989622598165,6.983846197536,16919.6597873955
2,fish,5.4875251346855,7.261414566509,19508.608679759
2,meat,7.9100337151035,13.0243093948665,21200.208880275
2,meat100,12.941678753023,26.1467330978985,27519.741004275
2,meat50,5.849934490124,8.502366406517,18766.8017446985
2,vegan,2.5156446034615,4.2215294494715,14135.4490388675
2,veggie,4.8149029545495,6.866737290143,16744.7231784035
3,fish,5.21695917610175,6.9105718874125,18753.901073703502
3,meat,7.85313525504075,13.77869199618425,19646.3184875025
3,meat100,13.30668483036225,28.214776690995002,25640.224433265
3,meat50,5.662188755562,8.41198534335825,17495.44824242125
3,vegan,2.47429390460525,4.2881848721047495,14289.91440116475
3,veggie,4.57919319114625,6.65735859647425,16659.78937070675
4,fish,5.50871245802825,7.60074026086725,20563.643810149497
4,meat,8.1535938959445,14.54331651663125,20664.198971322498
4,meat100,14.067747371328752,30.309381833070002,27098.5875135575
4,meat50,5.87631536723775,8.918548359224252,18050.5579895335
4,vegan,2.611059075502,4.660166818484,16511.505646397
4,veggie,4.83796486811975,7.182790500502501,18549.4362396685
