age_group,diet_group,mean_ghgs,mean_land,mean_watscar
50-59,vegan,2.504633888,5.494818959,10421.36387
60-69,vegan,2.569252108,5.55534703,11399.36384
70-79,vegan,3.283200666,5.807425318,12124.31914
20-29,vegan,3.343148295,6.900752106,11306.05561
30-39,vegan,3.001257142,6.025150932,9824.760026
40-49,vegan,2.955665079,5.887742517,9712.626023
50-59,vegan,2.529268987,5.580817881,9902.767689
60-69,vegan,2.686401147,6.048420038,12200.64402
70-79,vegan,2.782306638,5.325051072,11604.21064
20-29,veggie,3.682323034,6.324892391,12168.54181
30-39,veggie,3.755311072,6.409969456,12410.59158
40-49,veggie,3.797366191,6.508491816,12817.58057
50-59,veggie,3.882884035,6.698526939,13261.67499
60-69,veggie,4.10123949,6.916483729,14288.18761
70-79,veggie,4.159820832,7.14294516,16069.50591
20-29,veggie,4.899996056,8.384447365,15938.66754
30-39,veggie,4.735966338,8.049923082,15111.89616
40-49,veggie,4.572376216,7.676177064,14920.04236
50-59,veggie,4.352369183,7.594795801,14604.51752
60-69,veggie,4.43384331,7.796708445,15543.12949
70-79,veggie,4.889341866,8.234922064,18418.80845
20-29,fish,4.902389898,6.704863434,15612.69949
30-39,fish,4.845616555,6.67184326,16061.58087
40-49,fish,4.697560563,6.527921369,16104.70621
50-59,fish,4.632564161,6.400297617,16954.15286
60-69,fish,5.115393612,6.976058678,18385.98265
70-79,fish,5.190797258,7.195030634,19971.76872
20-29,fish,6.781320452,8.945218414,21051.59312
30-39,fish,6.219375378,8.308875898,19600.87483
40-49,fish,5.822734791,7.885160571,18508.16742
50-59,fish,5.698498035,7.604587331,18982.86321
60-69,fish,5.91242494,8.003957916,20910.83033
70-79,fish,6.151939059,8.373382306,23445.58748
20-29,meat100,9.081836775,13.33994353,23025.52704
30-39,meat100,8.991821183,13.14992557,23102.27321
40-49,meat100,9.02782479,13.25492991,21999.83173
50-59,meat100,9.126822276,13.30666774,21677.97538
60-69,meat100,9.229341242,13.34636472,22751.31367
70-79,meat100,10.06671505,14.42104652,23349.74217
20-29,meat100,13.29282748,19.43333141,31978.99147
30-39,meat100,11.24633268,16.55475173,27842.57399
40-49,meat100,10.73274989,15.96851632,25049.55885
50-59,meat100,10.73418802,15.88573899,25673.43288
60-69,meat100,10.66907709,15.88066282,25287.23804
70-79,meat100,11.54736957,17.00182473,26019.24461
20-29,meat50,4.760314354,6.661710261,14880.9521
30-39,meat50,4.942524655,6.818892258,15199.84299
40-49,meat50,4.80940807,6.671988093,15114.29115
50-59,meat50,4.792202334,6.524900778,15364.40955
60-69,meat50,5.148672452,7.043693999,16585.30229
70-79,meat50,5.254843574,7.029648402,17292.00724
20-29,meat50,6.064165095,8.263865639,18208.15055
30-39,meat50,6.308521216,8.510114165,18863.70078
40-49,meat50,5.939529881,8.018535205,18325.88423
50-59,meat50,5.724324159,7.854296859,17824.42518
60-69,meat50,5.706869085,7.791076997,17629.82106
70-79,meat50,6.186630362,8.58597315,19549.63193
20-29,meat,6.103136483,8.594617161,17473.2265
30-39,meat,6.157391364,8.661406991,17522.88684
40-49,meat,6.186490705,8.732040078,17264.75768
50-59,meat,6.087813281,8.512983997,16915.99605
60-69,meat,6.357776714,8.784733691,18409.43704
70-79,meat,6.826530345,9.583212362,20124.32359
20-29,meat,7.95691761,10.8110951,22142.26639
30-39,meat,7.91694675,11.00557047,22268.16481
40-49,meat,7.609722357,10.83087263,20478.9301
50-59,meat,7.080971867,9.989997248,19530.17229
60-69,meat,7.32316569,10.30932241,20370.44911
70-79,meat,7.571381387,10.6040979,20017.29158
20-29,vegan,1.821875081,3.696432999,10696.0757
30-39,vegan,2.017053348,4.032454443,11565.47963
40-49,vegan,2.129567713,4.19185003,13549.88431
50-59,vegan,1.996572416,4.140717761,15228.42372
60-69,vegan,2.13407083,4.415274661,15884.17858
70-79,vegan,2.529513025,4.879990154,16018.51978
20-29,vegan,2.822889186,5.486950719,14864.3064
30-39,vegan,2.391871612,4.590819984,14382.87539
40-49,vegan,2.332610983,4.55475886,14076.34834
50-59,vegan,2.142614024,4.202453551,13408.08518
60-69,vegan,2.208990237,4.443445835,17911.89852
70-79,vegan,2.506831626,4.754952841,16854.18748
20-29,veggie,4.128575307,6.278415598,13502.80447
30-39,veggie,4.161055191,6.386947853,14121.65385
40-49,veggie,4.083998255,6.323682215,14681.71872
50-59,veggie,3.984533879,6.192211043,15628.49893
60-69,veggie,4.313471063,6.601566676,17883.68329
70-79,veggie,4.641054158,7.017769654,19095.12537
20-29,veggie,5.809096998,8.402862943,17626.27382
30-39,veggie,5.501399899,8.00697233,17370.34032
40-49,veggie,5.10264364,7.561085305,17151.16641
50-59,veggie,4.749399759,7.211709651,17860.76154
60-69,veggie,4.874974184,7.417131106,18900.30834
70-79,veggie,5.503367037,8.064323583,23199.68461
20-29,fish,4.333192112,5.668149491,18073.48603
30-39,fish,4.313232,5.669737753,18302.30953
40-49,fish,4.295447888,5.67919948,18164.41104
50-59,fish,4.239339418,5.564686928,18599.99132
60-69,fish,4.728075195,6.267671108,19514.91031
70-79,fish,4.984038475,6.618023322,19512.70463
20-29,fish,6.030365403,7.9767883,22732.8993
30-39,fish,5.479828923,7.334154254,21265.01269
40-49,fish,5.196289336,6.956499685,19715.05071
50-59,fish,5.070144881,6.716615379,20183.35366
60-69,fish,5.440207671,7.441518622,20546.83364
70-79,fish,5.72146026,7.845211897,20929.20573
20-29,meat100,9.000453865,14.11210258,23184.64851
30-39,meat100,8.974028754,13.43613214,22310.84298
40-49,meat100,9.046174961,13.57566118,21986.96709
50-59,meat100,9.177092655,13.31216306,22632.5899
60-69,meat100,9.31814253,13.43868827,23014.04135
70-79,meat100,10.30729934,14.77054315,24155.66887
20-29,meat100,13.13770271,22.74525788,28049.3801
30-39,meat100,11.19269959,17.80893533,25406.41795
40-49,meat100,10.52928156,16.75149888,22951.42301
50-59,meat100,10.56771696,16.34848468,23131.80492
60-69,meat100,10.69489667,15.9428143,23816.1681
70-79,meat100,11.55696574,16.92078411,25804.71311
20-29,meat50,4.384813361,6.26945765,16821.26203
30-39,meat50,4.576306209,6.274206398,17397.4408
40-49,meat50,4.514655965,6.236736115,16746.66208
50-59,meat50,4.535307405,6.169887586,16990.95054
60-69,meat50,4.878919697,6.741705718,17691.98014
70-79,meat50,5.031258762,6.840107273,17289.17367
20-29,meat50,5.364355229,8.146498809,18137.60839
30-39,meat50,5.774405761,8.125105509,20222.15283
40-49,meat50,5.509674916,7.72822951,18216.60915
50-59,meat50,5.436536798,7.625020929,18077.40593
60-69,meat50,5.433248771,7.598752105,17549.25792
70-79,meat50,5.808673125,8.162875766,19580.57288
20-29,meat,5.938227302,8.556374747,18222.86895
30-39,meat,6.071931725,8.562397579,17997.92225
40-49,meat,6.047981807,8.604009905,17864.79536
50-59,meat,6.018651052,8.287500058,17887.80015
60-69,meat,6.356858556,8.696755215,18830.31153
70-79,meat,6.88422685,9.691882146,19329.1915
20-29,meat,7.465831498,11.00332095,21407.69903
30-39,meat,7.710180123,11.29823986,21601.11326
40-49,meat,7.231933467,11.01521756,19925.60588
50-59,meat,6.922710767,10.02617745,18791.82956
60-69,meat,7.198815508,10.30565507,19635.34205
70-79,meat,7.388173283,10.74222617,19420.39033
20-29,vegan,2.002833323,3.617417178,9612.850169
30-39,vegan,2.242154099,3.938605785,9897.84121
40-49,vegan,2.268089588,4.240347473,11439.81774
50-59,vegan,2.242340863,4.254392361,11384.99398
60-69,vegan,2.319621896,4.570477386,10670.19821
70-79,vegan,2.937985868,5.142744392,11182.96072
20-29,vegan,3.031961359,5.810781369,12906.17684
30-39,vegan,2.757576058,4.751753038,11572.51575
40-49,vegan,2.693413544,4.877249829,11049.66646
50-59,vegan,2.325969137,4.476757728,10556.97454
60-69,vegan,2.479337849,5.004807671,12108.86071
70-79,vegan,2.522278209,5.150061456,9552.758416
20-29,veggie,3.499902926,5.153633669,15951.85483
30-39,veggie,3.59740564,5.275946253,16119.1537
40-49,veggie,3.58498263,5.294067249,16447.33161
50-59,veggie,3.589741015,5.3392147,17211.88669
60-69,veggie,3.886550455,5.739617156,17388.33359
70-79,veggie,4.11585296,6.250473086,17991.8814
20-29,veggie,4.823019516,7.018745215,19164.45465
30-39,veggie,4.640673493,6.750722773,18436.43921
40-49,veggie,4.432036547,6.66291969,17408.66899
50-59,veggie,4.209086749,6.398222237,17254.78209
60-69,veggie,4.328533585,6.759078338,17602.42789
70-79,veggie,4.936989274,7.408109844,19551.20969
20-29,fish,4.416563148,6.091942494,12268.74925
30-39,fish,4.51748875,6.20883892,11883.82285
40-49,fish,4.482753835,6.210401765,11847.35972
50-59,fish,4.429226171,6.117962388,12444.35571
60-69,fish,4.779989649,6.770271554,13789.60994
70-79,fish,4.737488036,7.025690718,13814.77382
20-29,fish,6.291356618,8.488086519,15938.58538
30-39,fish,5.730915526,7.866224958,14949.11143
40-49,fish,5.492311407,7.537046385,13412.57014
50-59,fish,5.381773686,7.208919529,14019.44493
60-69,fish,5.463124151,8.017044402,14464.65155
70-79,fish,5.469656118,8.29435318,16453.06521
20-29,meat100,11.72816109,27.05239047,22641.78988
30-39,meat100,12.08929627,28.36593096,21118.6931
40-49,meat100,13.21924195,32.51336133,20762.74296
50-59,meat100,13.56921074,33.78284903,21146.4345
60-69,meat100,13.63755981,34.17463487,21917.76756
70-79,meat100,14.9089645,38.09952577,22607.4315
20-29,meat100,16.86228066,39.28216427,29985.26993
30-39,meat100,14.80644244,34.5738586,25957.50824
40-49,meat100,14.81718844,35.82435991,23017.47011
50-59,meat100,15.19095969,37.14088112,23338.51216
60-69,meat100,14.75613434,36.20826565,23651.31289
70-79,meat100,16.5944133,42.71484231,24733.19328
20-29,meat50,4.729847881,7.713738693,12190.62741
30-39,meat50,4.92570839,7.803724192,12241.20243
40-49,meat50,4.972818745,8.063383417,12108.09322
50-59,meat50,4.965719511,8.13290832,12759.86151
60-69,meat50,5.235180555,8.573963453,13537.72654
70-79,meat50,5.263634535,8.822984976,13579.46467
20-29,meat50,5.877132227,9.609419885,13994.67882
30-39,meat50,6.243275423,9.812183481,14906.56022
40-49,meat50,5.982001938,9.541037672,13859.26481
50-59,meat50,5.866317102,9.582239771,13697.34265
60-69,meat50,5.731230177,9.69723089,13903.26446
70-79,meat50,6.075761037,10.37881255,15395.02086
20-29,meat,6.623008638,12.32247898,15742.44121
30-39,meat,6.867422454,13.01972788,15426.80685
40-49,meat,7.272614852,14.41689392,15358.08613
50-59,meat,7.276707055,14.53680516,15439.93233
60-69,meat,7.292966959,14.43257967,16727.18655
70-79,meat,7.807260983,16.0402226,17503.56631
20-29,meat,8.246239563,14.61344633,19379.35453
30-39,meat,8.573532727,15.54107608,18730.31839
40-49,meat,8.739770722,17.1740193,17665.09941
50-59,meat,8.259900729,16.61220455,17101.20338
60-69,meat,8.458254654,17.32074449,17695.70206
70-79,meat,8.787775498,18.91231763,17934.23856
20-29,vegan,2.004835797,3.813658231,5711.650553
30-39,vegan,2.23687723,4.225732976,5921.880863
40-49,vegan,2.493374059,4.648573026,6979.334611
50-59,vegan,2.315445241,4.666307338,7222.885641
60-69,vegan,2.420175666,5.182763677,7774.596188
70-79,vegan,2.863708114,5.280579868,8907.296636
20-29,vegan,3.033312414,5.842618449,8772.563597
30-39,vegan,2.691739935,5.043690388,7331.2248
40-49,vegan,2.744777961,5.149999484,7104.345852
50-59,vegan,2.388141504,4.802196291,6465.767061
60-69,vegan,2.366192409,5.345515531,8715.192918
70-79,vegan,2.52353094,5.097972135,7435.533518
20-29,veggie,3.759860975,5.609419451,9405.575119
30-39,veggie,3.897352744,5.813071455,9352.813575
40-49,veggie,3.952397603,5.920507472,9625.756183
50-59,veggie,3.953825062,6.008274268,9964.244154
60-69,veggie,4.139062883,6.355761319,10514.78206
70-79,veggie,4.264898632,6.90343269,10410.64118
20-29,veggie,5.189751659,7.536352335,12301.89214
30-39,veggie,5.011943058,7.350459202,11471.57159
40-49,veggie,4.79999262,7.211264815,10871.10091
50-59,veggie,4.491127581,7.033019663,10732.28147
60-69,veggie,4.53342115,7.346921306,10823.28778
70-79,veggie,4.920057922,8.043997429,12255.41693
20-29,fish,4.294875016,6.80360545,29884.78813
30-39,fish,4.299166399,6.655589809,29230.11719
40-49,fish,4.242303716,6.544028823,26309.50018
50-59,fish,4.174424651,6.468638822,24626.39454
60-69,fish,4.602059349,7.044824918,23530.35654
70-79,fish,4.676924947,7.276846767,22607.89322
20-29,fish,6.037775013,9.273729852,42982.51461
30-39,fish,5.525688873,8.379427551,36049.01643
40-49,fish,5.215445095,7.85071127,31062.25702
50-59,fish,5.00604557,7.301729697,30912.42597
60-69,fish,5.239204593,8.249837055,27348.81328
70-79,fish,5.395559296,8.527955602,26600.85039
20-29,meat100,13.26194557,32.90437964,48938.06597
30-39,meat100,13.61924938,34.23017818,46264.51834
40-49,meat100,14.91448374,38.93315926,40317.18084
50-59,meat100,15.37567972,40.35674566,36596.85508
60-69,meat100,15.53495887,40.71950648,35126.59867
70-79,meat100,17.29519113,45.0440324,34700.57586
20-29,meat100,19.55295194,48.2624413,58232.00646
